ENSEMBL,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000090989.17,EXOC1,948.6291369,-0.010602773,0.285256384,-0.037169276,0.970350036,0.984272433
ENSG00000281379.2,SEPT14P19,1.962085693,0.010653718,0.970109887,0.01098197,0.991237832,0.995325453
ENSG00000167766.18,ZNF83,4300.493613,-0.010663358,0.292741489,-0.03642585,0.970942802,0.984722191
ENSG00000171163.15,ZNF692,1074.332189,0.01073834,0.411556973,0.026091989,0.979183967,0.98889668
ENSG00000169221.13,TBC1D10B,1015.047059,-0.010793108,0.240712177,-0.044838231,0.964236252,0.981355073
ENSG00000153989.7,NUS1,1330.325754,0.010906259,0.246614439,0.044223927,0.96472591,0.981632129
ENSG00000148308.17,GTF3C5,877.6756893,0.01092756,0.248446247,0.043983599,0.964917477,0.981783149
ENSG00000154710.16,RABGEF1,419.2683972,0.010998842,0.588064488,0.018703463,0.985077666,0.991923707
ENSG00000169064.12,ZBBX,20.05642272,-0.011054458,0.821822214,-0.013451155,0.989267855,0.99403537
ENSG00000036054.12,TBC1D23,682.5736995,-0.011118345,0.237229549,-0.046867453,0.962618869,0.980390065
ENSG00000142046.14,TMEM91,357.9482456,0.011127255,0.344695998,0.032281358,0.974247675,0.986230826
ENSG00000115540.14,MOB4,631.221546,0.011146464,0.189581934,0.058794971,0.953115414,0.975457082
ENSG00000257176.2,RP11-996F15.2,39.55953599,0.011168626,0.679619617,0.016433642,0.986888441,0.992950825
ENSG00000129255.15,MPDU1,1487.216926,0.011187996,0.279936202,0.039966234,0.968120046,0.983137327
ENSG00000152127.8,MGAT5,1828.356029,0.011203238,0.529400686,0.021162115,0.983116335,0.99078745
ENSG00000177225.16,PDDC1,1479.59535,0.01121262,0.200706992,0.055865618,0.955448861,0.976671182
ENSG00000090520.11,DNAJB11,1170.6375,0.011218546,0.346469441,0.032379613,0.97416932,0.9862118
ENSG00000133111.3,RFXAP,118.4256992,0.011257137,0.398442756,0.028252835,0.977460498,0.987902289
ENSG00000131378.13,RFTN1,596.1726965,0.011296527,0.331231651,0.034104613,0.97279373,0.985538079
ENSG00000103266.10,STUB1,1506.478784,-0.011298658,0.212736462,-0.053111057,0.957643422,0.977692517
ENSG00000198863.7,RUNDC1,523.1716971,-0.011311928,0.268042645,-0.042201973,0.96633769,0.982358973
ENSG00000269243.1,CTD-2231E14.8,429.5493317,-0.011367022,0.251907489,-0.045123794,0.964008636,0.981254767
ENSG00000187049.9,TMEM216,253.7034023,-0.011376418,0.22756081,-0.049992872,0.960128069,0.978730537
ENSG00000275092.1,LA16c-329F2.2,10.62324097,-0.011518319,1.108748885,-0.010388573,0.991711267,0.995619198
ENSG00000263874.2,LINC00672,35.82625177,0.011608671,0.462778887,0.025084702,0.979987402,0.989355777
ENSG00000214753.2,HNRNPUL2,2273.590151,-0.01162466,0.18357128,-0.063325047,0.949507671,0.973882431
ENSG00000175324.9,LSM1,437.5235228,0.011647812,0.291713685,0.039928919,0.968149795,0.983137327
ENSG00000236565.3,HNRNPA3P5,5.767087453,0.011674493,0.617997045,0.018890856,0.984928174,0.991848925
ENSG00000112305.14,SMAP1,564.7023594,-0.011697082,0.30637784,-0.038178615,0.969545271,0.983948152
ENSG00000121989.14,ACVR2A,432.0559273,0.011700587,0.221389661,0.052850649,0.957850905,0.977709653
ENSG00000131791.7,PRKAB2,708.0741325,0.01172491,0.355265516,0.033003232,0.97367201,0.985973308
ENSG00000166596.14,CFAP52,6.412104281,-0.011756728,0.875488009,-0.013428771,0.989285713,0.99403537
ENSG00000279096.2,RP5-1024N4.6,2.685380027,-0.011793145,1.488399878,-0.007923371,0.993678131,0.996662186
ENSG00000151458.11,ANKRD50,362.9326752,0.011803688,0.435788008,0.027085848,0.978391262,0.988588305
ENSG00000173327.7,MAP3K11,1383.38803,0.011814744,0.213615762,0.055308391,0.955892777,0.976748151
ENSG00000109572.13,CLCN3,1770.520334,-0.011820698,0.390272208,-0.030288342,0.975837094,0.986952947
ENSG00000258891.1,RP5-1021I20.5,2.606360589,-0.011820994,0.934089281,-0.0126551,0.98990296,0.994504003
ENSG00000132561.13,MATN2,1343.185389,0.011857373,0.475997546,0.024910576,0.980126292,0.989355777
ENSG00000109111.14,SUPT6H,2616.098057,0.011860294,0.249883931,0.047463214,0.962144048,0.980121853
ENSG00000162600.11,OMA1,462.341912,-0.011893078,0.372302359,-0.031944675,0.974516171,0.986357671
ENSG00000176946.11,THAP4,1231.696116,0.012007128,0.233923924,0.051329199,0.959063201,0.978219731
ENSG00000231701.1,BMS1P13,2.147185836,0.012018161,1.561275972,0.007697653,0.993858222,0.996662186
ENSG00000171204.12,TMEM126B,704.1105019,0.012022953,0.238929452,0.050320097,0.959867309,0.97868387
ENSG00000197361.7,FBXL22,28.72821236,-0.012031256,0.818833557,-0.014693164,0.988276973,0.993665451
ENSG00000123349.13,PFDN5,4989.646317,-0.012039522,0.288794754,-0.041688854,0.966746739,0.982468011
ENSG00000105053.10,VRK3,678.1562042,0.012058276,0.183611265,0.065672853,0.947638286,0.972702733
ENSG00000116005.11,PCYOX1,2628.462733,0.012162551,0.269668072,0.045101931,0.964026062,0.981254767
ENSG00000042429.11,MED17,618.7296811,0.012246937,0.218978817,0.055927498,0.955399565,0.97665865
ENSG00000180979.9,LRRC57,439.3338971,0.012253552,0.291530923,0.042031741,0.966473395,0.982391889
ENSG00000259948.2,RP11-326A19.5,201.848387,-0.01229746,0.335202614,-0.036686647,0.970734856,0.98454916
ENSG00000227500.9,SCAMP4,1323.585681,0.012297519,0.219822846,0.055942859,0.955387327,0.97665865
ENSG00000154122.12,ANKH,795.4237561,-0.012333701,0.290759684,-0.042418884,0.966164774,0.98233209
ENSG00000113845.9,TIMMDC1,1225.004282,-0.012406576,0.187956565,-0.066007675,0.947371715,0.972599553
ENSG00000280383.1,CTA-941F9.10,68.58906942,-0.01244861,0.636844636,-0.019547326,0.984404483,0.991435138
ENSG00000106261.16,ZKSCAN1,1767.950357,-0.012472223,0.274604409,-0.045418873,0.963773438,0.981180096
ENSG00000162924.13,REL,289.310614,0.012646263,0.358811316,0.035244884,0.971884472,0.985146782
ENSG00000128482.15,RNF112,53.45687757,-0.012651252,0.722554211,-0.01750907,0.986030497,0.992579944
ENSG00000088356.5,PDRG1,426.1659598,0.0126883,0.228553509,0.055515665,0.95572765,0.976748151
ENSG00000178381.11,ZFAND2A,242.5170258,-0.012823203,0.363597342,-0.035267593,0.971866365,0.985146782
ENSG00000162522.10,KIAA1522,2902.349704,0.012853313,0.296114845,0.043406512,0.965377487,0.98212117
ENSG00000134046.11,MBD2,1339.524894,0.012911627,0.36826594,0.035060605,0.972031415,0.985190715
ENSG00000083535.15,PIBF1,312.1647564,0.013079783,0.410035866,0.03189912,0.9745525,0.986357671
ENSG00000187239.16,FNBP1,827.8574891,-0.013117717,0.257980923,-0.050847623,0.959446942,0.978406584
ENSG00000228801.5,RP11-110G21.1,42.21757421,-0.013122798,0.396294076,-0.033113787,0.973583849,0.985959756
ENSG00000282416.1,LLNLF-173C4.2,61.67055842,0.013177876,0.947659033,0.013905714,0.988905203,0.994001524
ENSG00000272008.1,RP11-393I2.4,23.74126956,-0.013192934,0.490272432,-0.026909395,0.978532,0.988616867
