"","GeneName","logFC","logCPM","LR","PValue","FDR","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Fl_1_S1","Fl_2_S2","Fl_3_S3"
"ENSMUSG00000021285","Ppp1r13b",0.593199606927561,4.70773848214413,30.526685746243,3.29305510640208e-08,1.17403148718793e-07,4.96663689823883,5.06447222289592,5.1390236578972,4.25265752040964,4.15615511041106,4.3414875981095
"ENSMUSG00000010067","Rassf1",-0.478835859447889,5.91639412920521,30.4824578979715,3.36899137635699e-08,1.20070584563864e-07,5.88464955865689,5.60265551573597,5.62068761977933,6.11672324295611,6.10342531942848,6.06764038031963
"ENSMUSG00000030494","Rhpn2",0.466335641426659,5.99357532385806,30.4590723533363,3.40984926708172e-08,1.21486475876239e-07,6.19057914467171,6.3192544707171,6.31442517867514,5.62598388671744,5.60461036097835,5.70328929247482
"ENSMUSG00000034430","Zxdc",0.45852692310798,6.08802138213065,30.4579844007537,3.41176211384475e-08,1.21514350436439e-07,6.2950270211267,6.34030847705436,6.2864093838048,5.87779697416935,5.74662205763629,5.86442203701208
"ENSMUSG00000020611","Gna13",0.43153139093197,6.54156104973623,30.4524148893658,3.42157132336883e-08,1.21823352616401e-07,6.72040336449296,6.7335714101561,6.75150789478681,6.28040429141807,6.361307391619,6.3137259379845
"ENSMUSG00000020472","Zkscan17",-0.448240996063929,6.33289008263338,30.4403779217015,3.44286785772185e-08,1.2254101524057e-07,6.12489151153342,6.21925126227014,6.139888416946,6.47073009040794,6.44703460388598,6.53707695167607
"ENSMUSG00000042115","Klhdc8a",0.577480632755638,4.71783278257345,30.4326688042562,3.45657700433905e-08,1.22988236410594e-07,5.03758822484105,5.06071846942579,5.00619607151254,4.25265752040964,4.34417002814399,4.35289681236585
"ENSMUSG00000060716","Plekhh1",-0.603798917015889,4.42345690012728,30.4309799872197,3.4595875275626e-08,1.23054620561782e-07,4.31279201734787,4.226812691328,4.35254380867242,4.53413292758047,4.60261420904115,4.46754275986373
"ENSMUSG00000074158","Zfp976",-0.887791725654518,3.6508346899003,30.4204496193875,3.47841854238171e-08,1.23683496235729e-07,3.64594066250673,3.10331751314795,3.05962356447398,3.8633669900669,4.22518681326763,3.6117632481043
"ENSMUSG00000038637","Lrrc56",0.955260746235333,2.68233730212674,30.3440437858846,3.61816275438124e-08,1.28609892350674e-07,3.51944920037237,3.01296355807884,3.14322714794996,1.83257822009731,1.73258635957084,1.73637701038935
"ENSMUSG00000060950","Trmt61a",-0.583620154015092,4.96195819645331,30.2935563522579,3.71357539206217e-08,1.31957758311657e-07,4.61687043781051,4.75405790693737,4.50619546902808,5.24521965719652,5.17571432509963,5.26835738194636
"ENSMUSG00000029621","Arpc1a",-0.44092559046989,7.29151518381351,30.2895788294912,3.72119849204137e-08,1.32184939163756e-07,7.09775240696474,7.01925049398982,6.90817108888876,7.53402620479493,7.50006770536941,7.54368743350202
