"","GeneName","logFC","logCPM","LR","PValue","FDR","Fl_1_S1","Fl_2_S2","Fl_3_S3","Fl_gHira_1_S7","Fl_gHira_2_S8","Fl_gHira_3_S9"
"ENSMUSG00000058729","Lin9",-0.0646778081685387,5.3180021348254,1.76960251406434,0.183431278700668,0.20514283267998,5.39465387449345,5.38922374702709,5.3298868056975,5.15481129615866,5.31294535053114,5.29929397701718
"ENSMUSG00000029207","Apbb2",-0.0640797548187274,5.72718110735276,1.76692446006835,0.183763159760387,0.205492044384906,5.85060489352928,5.93509345013649,5.82505635927223,5.64789259293056,5.4650440579367,5.5555417092891
"ENSMUSG00000026037","Orc2",-0.0451088989909683,7.02098227757414,1.75947317400961,0.184690240758199,0.20650668914852,7.0115047456891,7.04040842286025,7.04389446925321,6.94707622036574,7.02660247958102,7.05159492582332
"ENSMUSG00000039449","Prpf18",0.0525716044339943,6.09621991091772,1.75407719212804,0.185364992447325,0.207239011739753,6.04070190775741,6.11332651575055,6.06262148548493,6.12491272483537,6.06534992122824,6.16195775475282
"ENSMUSG00000032278","Paqr5",0.0800372733063715,4.2697051707335,1.72613026825407,0.188905853459436,0.211175160690532,4.34655557409411,4.22902884878449,4.34542011122416,4.24837668443726,4.22845894414918,4.21075358771526
"ENSMUSG00000024799","Tm7sf2",-0.110481585716474,3.63195184176342,1.72484655110661,0.189070380907355,0.211336516946306,3.84912432619935,3.67874716647551,3.67330119310622,3.49370458211992,3.36499805001487,3.60038881051787
"ENSMUSG00000042492","Tbc1d10b",0.0542838570410672,5.9422794878524,1.72451475268325,0.189112932948247,0.2113615132951,5.93827851986784,5.97415167188579,5.92214332010688,5.93855772001083,5.97483936224509,5.90915253044496
"ENSMUSG00000089847","Timm10b",0.155645272342663,3.08800507934813,1.71698057443421,0.190082175718733,0.212403389689596,3.21917080942641,3.11740514873803,2.77361333341555,3.28537434964581,3.16385379883807,2.93364083069578
"ENSMUSG00000034329","Brip1",0.066812289976637,4.88877434525648,1.71695313908852,0.190085715732336,0.212403389689596,4.89125314769563,4.98461911793836,4.90461176383855,4.77939790467483,4.83181565780725,4.91228259525549
"ENSMUSG00000026709","Dars2",-0.0674359988199866,5.19143313043457,1.7133747803066,0.190548094826924,0.21289733241655,5.27310228554159,5.19349376345081,5.2235061769225,5.07242274711253,5.22373202034889,5.15062952085278
"ENSMUSG00000020629","Adi1",-0.0648477390573182,5.88211434299655,1.71159131745002,0.190779035310439,0.213132613452672,5.90220671656445,5.89494830682358,5.9354945311749,5.804882597211,5.80839445151091,5.92700163985491
"ENSMUSG00000026384","Ptpn4",0.077702004873798,5.18647981692896,1.70969878192027,0.191024456667857,0.213384020151066,5.31289979462161,5.31510186541032,5.06419575816724,5.0560949917288,5.06585211371153,5.23130284144278
"ENSMUSG00000016253","Nelfcd",0.0537275228511694,6.3695317442034,1.70467811055983,0.191677316926972,0.214090454593884,6.35470370457522,6.31123915116154,6.43312529076388,6.37794885628667,6.37773113372094,6.36395431910867
"ENSMUSG00000001518","Itfg2",-0.0778872655160245,4.9899378095606,1.69931798663677,0.192377193738038,0.214849246985653,5.04770179845104,5.09504976919103,4.99483165111606,5.03403316261343,4.96852548452617,4.79456766949259
"ENSMUSG00000031672","Got2",0.0524755332719029,8.27965564098165,1.69764511704658,0.192596232609512,0.215070928980158,8.2126923598326,8.19407926424003,8.30334039294054,8.3292961562403,8.29200299874871,8.34127263102471
"ENSMUSG00000024258","Polr2d",-0.0594401290974396,5.07934716150757,1.69553376081282,0.192873101111093,0.215357134762376,5.0730864539032,5.09209368675693,5.08830402617597,5.07242274711253,5.10176452710146,5.05397378872251
"ENSMUSG00000037720","Tmem33",0.0419788244062498,7.59664376812521,1.69394827447607,0.193081316392272,0.215566631258472,7.54948351441785,7.53777065010669,7.53662238546484,7.64449793077402,7.62769036108158,7.67763285878451
"ENSMUSG00000050029","Rap2c",-0.0560533226312416,6.26762083020252,1.68952219298279,0.193663966622493,0.216194078329162,6.3585119242057,6.35567012777464,6.1882384019457,6.12491272483537,6.27137714053163,6.27937194425722
"ENSMUSG00000009418","Nav1",-0.0631095355099194,6.27626947546078,1.68925676848124,0.193698972415452,0.216210101526534,6.4134151842906,6.41601531377926,6.35365830417929,6.29611913228838,6.05784128384205,6.06298250282731
