"","GeneName","logFC","logCPM","LR","PValue","FDR","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Cl19_gHira_1_S10","Cl19_gHira_2_S11","Cl19_gHira_3_S12"
"ENSMUSG00000062312","Erbb2",0.0567962975385284,6.66462444488137,0.491318132319213,0.483339904319479,0.603196402128076,6.60693282137332,6.67054479206887,6.67711861644835,6.64096554694156,6.67113045409053,6.71952775633298
"ENSMUSG00000042535","Gtpbp1",0.057912055803254,6.4836007070748,0.49068039338448,0.483623953456885,0.603420819568667,6.38730861623933,6.52486797784484,6.47720078824517,6.55692335488557,6.51172156187853,6.43674467366966
"ENSMUSG00000118665","LIN54",0.0595025965909724,5.76328215104159,0.490596945588207,0.48366114149078,0.603420819568667,5.64398541745392,5.78570104694557,5.88381074995544,5.73544029228177,5.74539040714689,5.7774765899426
"ENSMUSG00000036941","Elac1",0.0995540216206818,2.44455772626895,0.4905322791785,0.483689962949343,0.603420819568667,2.65093680355478,2.35505642389015,2.33550778033147,2.44362477961758,2.37547480129736,2.45915217105421
"ENSMUSG00000020648","Dus4l",0.0891509009366225,3.09931624822879,0.489745906392248,0.484040671672007,0.603787507631686,3.25788235511274,3.07397361730559,3.00583644613629,3.18628269220235,2.94650821664861,3.07866633128479
"ENSMUSG00000046541","Zfp526",0.0901815283375646,3.45099304090302,0.488912831360466,0.48441266664924,0.604180658825712,3.50330976383756,3.44041756775692,3.49149398339383,3.33758686326886,3.44460941536617,3.49062478003756
"ENSMUSG00000053333","Dis3l2",0.0936532907452392,3.65003780901338,0.488102287407317,0.484775053954471,0.604561736103184,3.46519625883271,3.70858890022128,3.91035241640517,3.60952015215543,3.51967328923644,3.65727535453567
"ENSMUSG00000029722","Agfg2",0.0721750579045905,4.86177142787744,0.487871219945317,0.484878444272311,0.604619767400534,4.77108966369828,4.96175355088193,4.83520285558134,4.87089078090148,4.9179782725074,4.80901928249015
"ENSMUSG00000067288","Rps28",0.0615366385184903,7.13118358354281,0.486951716424045,0.485290234089545,0.60488861583683,7.26748131343631,7.01123720777597,6.97138674815925,7.18665557740665,7.23046521868384,7.09266672514681
"ENSMUSG00000027465","Tbc1d20",-0.0573646140329643,6.63132393785248,0.486936573854916,0.485297020364927,0.60488861583683,6.56500100003471,6.70402434343753,6.65043539056292,6.59330381250634,6.65512706935469,6.6174839505827
"ENSMUSG00000032872","Cyb5r4",0.0564837338718681,5.87464225056766,0.48691256495278,0.48530778048694,0.60488861583683,5.8270984511834,5.91192763627219,5.92710270078609,5.86565897166597,5.8392255775123,5.87543703559449
"ENSMUSG00000038236","Hoxa7",0.0776603453896986,4.04552712893854,0.486881777982063,0.485321578927951,0.60488861583683,4.15737119621391,4.12283820864733,3.91035241640517,4.07442972743798,4.07862576244995,3.90461198121476
"ENSMUSG00000039048","Foxred1",-0.0734314258754716,5.12957039413607,0.486245795857952,0.485606765538678,0.605069465965119,5.44185765713801,4.96376523809534,5.07192477259984,5.08090718770019,5.13086282239332,5.02827645608438
"ENSMUSG00000024477","Pggt1b",0.0584525701973158,5.60883048271942,0.486230463506163,0.485613644281406,0.605069465965119,5.56008377175917,5.64986331377263,5.6254222086796,5.58053857536028,5.58454038388925,5.65221197722369
"ENSMUSG00000026605","Cenpf",0.0586737573415036,7.11063920832853,0.486177562057861,0.485637379350413,0.605069465965119,7.1236641730177,6.97778370012529,7.18868619325755,7.1324907872538,7.00084586138017,7.22256127589846
"ENSMUSG00000027822","Slc33a1",-0.0604255181211258,6.33255446185093,0.484507064165626,0.486387863287373,0.605933521344649,6.32719227746507,6.38849878875629,6.40736548459206,6.2038785395504,6.37690365368197,6.28421987647036
"ENSMUSG00000027405","Nop56",-0.0662177292153152,8.09016406757632,0.483462350288391,0.486858185786174,0.606448394945552,8.25167785506962,8.02824066456554,8.00618910310452,8.1518257471577,8.04854964739908,8.03741295953509
"ENSMUSG00000042502","Cd2bp2",-0.0536744343291334,6.59752748704524,0.483333711449873,0.486916150165541,0.606449559716603,6.69647650284469,6.62614406889528,6.57599743170161,6.5688691698699,6.5456424029224,6.5663177726058
"ENSMUSG00000004934","Pias4",0.0685076332816535,4.88956152922755,0.483013930394513,0.487060292398548,0.606558045364347,4.97169838683348,4.98372931998828,4.72051240907772,4.89820044719304,4.84006399168866,4.90682253708549
"ENSMUSG00000027583","Zbtb46",-0.0776166206174856,4.02793508819981,0.482257891510742,0.48740136071053,0.606911717774681,4.18368920142461,4.12643454701473,4.05355890065363,3.92311198511172,4.02466911492138,3.83077728715583
"ENSMUSG00000047126","Cltc",0.0667828969403538,9.77185872404488,0.482068500999702,0.487486861642422,0.606947112364537,9.53078907032489,9.75023978790566,9.8960757374186,9.78727406228234,9.74318133425836,9.89341578183097
"ENSMUSG00000002297","Dbf4",-0.0527104733716178,8.39935648948992,0.481640508656803,0.48768017182989,0.607116711219744,8.42204865266582,8.39186999092725,8.37086307540423,8.43708236107661,8.37158171125375,8.40119028983427
"ENSMUSG00000039512","Uhrf1bp1",-0.0591981233384873,6.28461744213314,0.481027440111947,0.487957296716021,0.607390599704807,6.38787466910163,6.27399823815083,6.36244036190023,6.24274751514078,6.1060227656699,6.31661171693187
