"TF","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Fl_1_S1","Fl_2_S2","Fl_3_S3","Mean_ Cl19","Mean_ Fl","Mean_TFChange","p.val","p.adj"
"Foxa1",0.581499350815014,1.01874078751753,0.986217957121539,-0.909622900636462,-0.76767679997336,-1.8696257941202,0.862152698484693,-1.18230849824334,2.04446119672803,0.0165662720105972,0.118895602749724
"Foxl2",-0.240142584489393,0.216997366681373,1.14970874057445,-0.69922332330819,-0.833742149437304,0.33642351408105,0.375521174255477,-0.398847319554815,0.774368493810292,0.233501292091977,0.353900395826903
"Foxm1",-1.17529830025929,-0.970974144236023,-2.12779170942367,1.09695818225448,1.36697760690772,1.53733036400053,-1.42468805130633,1.33375538438758,-2.7584434356939,0.00950956276262252,0.107820638378861
"Foxo1",1.02510511785253,0.349423963928266,0.521978207565518,-0.625585145180896,-0.5328207197797,-2.26194672242383,0.632169096448771,-1.14011752912814,1.77228662557691,0.0737210079459399,0.188182572914636
"Foxo3",0.248805723929513,1.91559289290018,2.12758242544441,-3.17986509980814,-2.07709148548766,-1.07638282213064,1.4306603474247,-2.11111313580881,3.54177348323351,0.0140640634330801,0.118895602749724
"Foxo4",1.87548449171211,2.10278113583577,2.71975347148114,-3.71663113230453,-2.37585146395676,-2.63788198801463,2.23267303300967,-2.91012152809197,5.14279456110165,0.0010992040553096,0.0332551812649703
"Gata1",1.00468775590848,0.859896412944739,0.932527179764143,-1.0296161028055,-1.79900697786267,0.039846313873031,0.93237044953912,-0.929592255598378,1.8619627051375,0.072245452852116,0.188182572914636
"Gata2",0.365054846242767,0.372470234178013,-1.1389980780781,0.612303586236594,-0.352582599434358,0.940188786489515,-0.133824332552442,0.399969924430583,-0.533794256983025,0.450653310058239,0.579642758849116
"Gata3",-0.412755667597422,-0.387198685766707,2.96034506413768,0.201811785838347,-0.604212859024791,-1.03088774126906,0.720130236924516,-0.477762938151837,1.19789317507635,0.399825911573263,0.531275526337076
"Gli2",-0.644133835654957,-0.500234668734445,0.739235835185287,0.323581375918335,0.126990070509923,1.26611040425053,-0.135044223068038,0.572227283559597,-0.707271506627635,0.280047130828878,0.399478995447076
"Hif1a",-0.808498568050978,3.07147717553305,3.18893926718195,-1.04326115132771,-3.44922607184102,-0.801903739623958,1.81730595822134,-1.76479698759756,3.5821029458189,0.0949025157580965,0.219179619727032
"Hnf1a",0.237003508957133,0.0100998290588382,1.75784226334682,-1.18434692795603,-0.606463032037436,-0.724190147471646,0.668315200454265,-0.838333369155037,1.5066485696093,0.0995901187483952,0.22083832920678
"Hnf4a",0.197142389762667,0.716931839834543,2.03712102960873,-0.0292764139608525,-1.92551215641947,-0.908016414018545,0.983731753068648,-0.954268328132957,1.9380000812016,0.0666425630767104,0.188182572914636
"Irf1",-1.4435886026178,1.15818947969118,0.861134553100975,-0.782875757974891,-0.250375569859453,0.841054903928055,0.19191181005812,-0.0640654746354296,0.255977284693549,0.804182348046456,0.893337127520134
"Irf3",-0.145073793283891,0.512327454491256,-0.3631331165401,0.0720435011483185,-0.416289031520767,0.203848360651727,0.00137351488908837,-0.0467990565735736,0.048172571462662,0.889614575473422,0.927877567966903
"Irf7",-0.764674966812176,-0.487036368560668,-1.0695160307321,1.24986508084776,1.25446120385513,0.760932016118873,-0.773742455368316,1.08841943360726,-1.86216188897557,0.0013713476810297,0.0332551812649703
