"TF","Fl_1_S1","Fl_2_S2","Fl_3_S3","Fl_gHira_1_S7","Fl_gHira_2_S8","Fl_gHira_3_S9","Mean_ gHIRA","Mean_ Fl","Mean_TFChange","p.val","p.adj"
"Esr1",-0.14189001378043,0.10512911460524,0.738164691299322,-0.878976887917078,-0.313288118844136,-0.948741714656722,-0.713668907139312,0.233801264041378,-0.94747017118069,0.0492050200492236,0.190915477790988
"Esr2",-1.41890010664202,0.284936420271511,0.245615580510834,0.711645147622773,0.23797113752415,0.496757407423396,0.482124564190106,-0.296116035286557,0.778240599476664,0.298309188488025,0.466709536828039
"Ets1",0.981361229842168,-1.46337872290759,-0.125547682019306,1.0880180853242,0.396443998941917,-0.712994576355576,0.257155835970179,-0.202521725028241,0.45967756099842,0.631256324731014,0.816424846652111
"Ets2",-0.732121491515866,-1.04759125801984,0.364499436832823,1.57906589986146,0.377170545585844,-0.289476136927955,0.555586769506449,-0.47173777090096,1.02732454040741,0.217023057637827,0.382749756197623
"Etv4",0.924724466104336,0.0922014136432237,0.710502791128729,-0.57186245014271,1.18732761091702,-0.711223028884776,-0.0319192893701563,0.575809556958763,-0.607728846328919,0.433087909604002,0.617787165170415
"Fli1",0.382687538813051,-0.218436362537172,0.702922140088728,-0.380917539610475,0.319809889638847,-0.785853806165817,-0.282320485379148,0.289057772121536,-0.571378257500684,0.248320430939598,0.415491528067928
"Fos",0.315627897578484,0.57193231974523,0.225729826716683,-0.442272813838643,0.73457708770176,-1.41353637515255,-0.373744033763143,0.371096681346799,-0.744840715109942,0.35290136481529,0.534866131048175
"Fosl1",-0.724631123755545,-0.842273561382527,-1.18832283116919,1.16426261040925,0.625739089931901,1.08606444098053,0.958688713773891,-0.918409172102422,1.87709788587631,0.00116547151945936,0.0512401384658722
"Foxa1",0.0790416477900878,0.646686782239234,-0.00771800738821689,0.517538470839864,-0.656278439485729,-0.433890371148182,-0.190876779931349,0.239336807547035,-0.430213587478384,0.371645978336664,0.554477962643681
"Foxl2",-0.323249593247767,-0.210548419610367,0.581943959777873,-0.320648835085366,0.96924242431409,-0.322033198317435,0.108853463637096,0.0160486489732461,0.0928048146638502,0.867250452446352,0.91438362920974
"Foxm1",-0.719326346244171,-0.254367681536892,-0.286032311786823,0.407734587047167,0.628239733858849,-0.128668046790855,0.302435424705054,-0.419908779855962,0.722344204561016,0.0642991990946569,0.207900743739391
"Foxo1",1.29041820165751,0.950645479022251,-1.33439164142104,-0.789222253432452,-0.477116685993256,0.0300283641668211,-0.412103525086295,0.30222401308624,-0.714327538172535,0.481666999845864,0.658052098380969
"Foxo3",-2.36535594051518,-1.38176211897958,-0.556022298503236,0.717908628219177,1.11606664406611,0.653007872343977,0.828994381543089,-1.43438011933267,2.26337450087575,0.0412232200912578,0.181756924947819
"Foxo4",-0.406851296731354,0.240463195035799,-0.312255775927041,-0.213114954703959,-0.401192566856995,0.331500876965301,-0.0942688815318844,-0.159547959207532,0.0652790776756476,0.837591408811081,0.90450806680769
"Gata1",-0.43127373182518,-1.13145168644134,0.953478445140624,-1.04424139536005,0.212283490421191,-0.0665538238352718,-0.299503909591378,-0.203082324375298,-0.0964215852160807,0.901312693566722,0.91627673203817
"Gata2",0.752861153743027,-0.194774333828552,0.548865987256375,0.564258119579286,-1.50248263008206,-0.678939155354427,-0.539054555285732,0.36898426905695,-0.908038824342683,0.269839231080272,0.443633990081126
"Gata3",0.162537874350946,0.461133714881052,-0.588604326458635,-0.415735357864173,-0.0433175966585035,0.259868180122927,-0.0663949247999164,0.0116890875911209,-0.0780840123910372,0.844351760628106,0.90450806680769
"Gli2",0.551025263365021,-0.258780742282256,1.16917963036407,-0.30476957084494,-0.328130689619854,-1.21044489730636,-0.614448385923718,0.487141383815613,-1.10158976973933,0.103578529283875,0.245051642452095
"Hif1a",-0.708939372650973,-3.84469656668902,-0.0890790813624619,1.49153285742838,2.56743185282913,1.01334045695099,1.6907683890695,-1.54757167356749,3.23834006263698,0.0933628196330368,0.245051642452095
"Hnf1a",-0.998681995675926,0.145234207637214,-0.740336140985339,0.0347422516183997,0.706289520703193,0.721169855142311,0.487400542487968,-0.531261309674684,1.01866185216265,0.0797507551739178,0.240524373340681
"Hnf4a",1.07949554605634,-0.922519821547245,-0.143399817141721,-0.172435304972439,0.283872917365782,-0.335893960191434,-0.0748187825993637,0.00452530245579139,-0.0793440850551551,0.906830580161488,0.91627673203817
"Irf1",-0.695865584937097,-0.399557801098576,0.790038714974466,-0.101255282846985,0.912591521962246,0.0135550402821193,0.274963759799127,-0.101794890353736,0.376758650152862,0.538927546001271,0.726055166140602
